丫	Daemon	Yaya
糧頭	Grain	Grain Head
兩頭唔到岸	Two ends to the shore	Two Not to the Shore
兩頭蛇	Two snakes	Two-headed snake
兩仔爺	Two -time grandfather	Grandfather
兩仔乸	Liangzi	Two Tsai Wan
涼浸浸	Cold immersion	Immersion
攞鏡	Mirror	Spieglass
攞鏡頭	攞 攞 攞	Lens
攞景	Landscape	SCENE KING
攞景定贈㷫	攞 攞 攞 定 定	Green View Gift
攞景定贈慶	攞 攞 攞 攞 攞 攞	Gift of King's Day
嘍啩	啩	Minions
來	Come	Come
萊	Liberal	Les
來路	origin	Way To
來路貨	Lane	To the way goods
來路嘢	Come to the way	Come to the road
攞人命	Dying	Human Life
棇柚	Pomelo	Pomelo
螺厴	Snail	Whelk
攞意頭	攞 攞 攞 攞	Innocis
咯	Be	slightly
洛	Macaron	Luo
烙	Label	Branded
駱	Macro	Luo
絡	Linked	Contact
樂	happy	Music
落	fall	Falling
落	fall	Falling
鉻	chromium	Chromium
LOGOUT	Logout	LOGOUT
落班	Go to work	Shift
落巴士	Plot	Drop off bus
落筆打三更	Sanxian	Falling pen hit three more
落錶	Go to	Falling watch
落雹	Hail	Hail
落本	Go to	R0umoto
落本錢	Pay for money	Falling money
落車	Fall off the car	Drop off the car
落床	Go to bed	Falling off the bed
落大雨	Heavy rain	Heavy Rain
落單	Order	Order
落叠	Fall	Falling Down
落地蟹殼	Crab shell	Floor Crab Shell
落定	Settlement	settles
落D	Dos	Falling D
落貨	Settlement	Falling Goods
落街	Fall on the street	Lok Street
落格	Fall	Pocketed
落膈	Fall down	Diaphragmatic
落更	More	Falling more
落狗屎	Shit	Falling Shit
落降頭	Falling head	Landing head
落口供	Confession	Drop-in
落去	Fall	Falling
落焊	Welding	Falling Welding
落鹽	Salt	Falling salt
落藥	Patent medicine	Dropping Medicine
落雨	Rain	Falling Rain
落雨擔遮	Burden of falling rain	Rain cover
落雨溦	Falling rain	Rainfall
樂與怒	Joy and anger	Music and Fury
落雨濕濕	Falling rain and humidity	rain wet
落雨收柴	Falling rain to collect firewood	Rain collecting firewood
落雨絲濕	Wet rain	Wet rain
落冚	Fall off	Fallen
落旗	Fall flag	Falling Flags
落嚟	Fall	Falling
落力	Unproof force	Falling force
落面	Fall into the face	Falling Surface
落柯打	Luo Ke	Foker fight
落案	Settle down	Falling the case
落晒形	Falling shape	Sun-shaped
落細雨	Drizzle	Drizzle
落手	Settlement	Falling hands
落手打三更	Sanxian	Falling hands hit three more
落手落腳	Handle	Falling hands
落船	Fall off the boat	Falling ship
落雪	Fall off the snow	Falling Snow
落雪珠	Falling beads	Falling Snow Beads
烙鐵頭	Iron head	Soldering Iron Tip
落台	Settlement	Landing
落堂	Settle down	Fallen Church
落糖	Moltose	Sugar Falling
落湯雞	Soup chicken	Falling soup with chicken
落畫	Drop painting	Falling Painting
落仔	Fall	Falling Tsai
落嘴頭	Litter	Drop your mouth
落咗個BB	Fall a BB	Dropping a baby
落妝	Makeup	Falling makeup
落足工夫	Work hard	Falling
落鐘	Bell	Falling Clock
落中環	Luo Zhonghuan	Falling Central
落注	Bet	Falling bets
攞 … 嚟講	攞 讲 讲 讲 攞	... speaking
攞嚟講	Talk about	Speaking
攞嚟衰	Decline	Decay
攞嚟賤	攞 攞 攞 攞	
攞利	Litter	Gili
囉囉攣	啰啰挛	Hello Crusmus
羅馬生菜	Roman lettuce	Romana Lettuce
䓓味	Flavor	Taste
攞命	Died	Fatal
啷	Bleak	
哴	Bleak	
ຘ	Bleak	
Ⲳ	Bleak	
廊	gallery	Gallery
榔	palm	Hammer
狼	Wolf	Wolf
螂	dragonfly	Mantis
郎	Tadpole	Lang
朗	Loud	Lang
晾	air	Dry
浪	wave	waves
襠	crotch	Crotch
皅	Bleak	
Ⲳ簿	Album	Scrapbook
ຘ口	Eloquence	Dekou
ຘ口盅	ຘ ຘ cup	mouth cup
Ⲳ起	Rose	
啷႖	啷 啷 啷	
啷啷聲	Squeak	CLAIMER
狼忙	Wolf	Wolf Busy
晾衫挾	Dry shirt	Clothes clothespins
狼胎	Wolf	Wolf Fetus
棇噼	Mortar	
攞便宜	攞 攞 攞 攞	cheap
棇神	Pheasant	god
螺絲	screw	SCREW
螺絲釘	screw	Screw
螺絲母	Screwdriver	Screw female
螺絲批	Screw batch	Screwdriver
鏍絲批	镙 镙 镙 镙	Silk batch
羅宋湯	Rong Song soup	Borscht
嘮	chatter	nag
嚕	chatter	Lulu
捞	Fish	
撈	Fish	Fishing
佬	guy	Guy
老	old	old
咾	Bleak	
勞	labor	Lau
嘮	chatter	nag
爐	furnace	Furnace
牢	prison	Jail
盧	Lu	Lou
蟧	Bleak	
顱	skull	Cranial
驢	donkey	Donkey
髏	skull	Skeleton
勞	labor	Lau
勞	labor	Lau
爐	furnace	Furnace
蘆	reed	Ashi
蟧	Bleak	
滷	halogen	Braised
老	old	old
魯	Lu	Lu
鹵	halogen	halogen
擄	Capture	Abduction
潞	Bleak	LuLu
路	road	Road
露	dew	Dew
路	road	Road
老爆	Old -fashioned	Old Burst
盧比	rupee	Rupees
撈邊行	Border	Fishing Line
老表	Old watch	Old table
老波骨	Old waves	Old Wave Bone
路壆	Road	Lu Pok
老幫	Old gang	Old Gang
盧布	ruble	Rubles
老柴	Old firewood	Lao Chai
老差骨	Old -fashioned	Old Poor Bone
老襯	Lining	Old lining
老抽	Veteran	Old smoke
老吹	Blew	Old Blowing
老千	Old thousand	Old Thousand
嘮嘈	Noisy	Nagging
老處	Old place	Old place
老竇	Old sinus	Old sinus
老豆	Old beans	Old Peas
老豆大把	Old Bean Da	Big handle of beans
老豆養仔,仔養仔	Lao Dou Yangzi, Zai Yangzi	Soybean,
老豆姓乜都唔記得	Lao Dou's surnames, I remember	The name of the bean doesn't remember anything
老點	Old point	Old Point
老頂	Old top	Old Top
老定	Old	Laoding
老道	Old way	Old Road
潞凍	Frozen	Freeze
老番	Old	Old Banpan
老翻	Old turning	Old turn
老番冬	Lao Fan Dong	Old Fandong
老番涼茶	Lao Fan Herbal Tea	Old Herbal Tea
老番睇榜第一	Lao Fan's List No. 1	Old school watch the first list
老火靚湯	Laohuo Liang Soup	Old fire soup
老火湯	Old fire soup	Old Fire Soup
老虎機	Slot machine	Slot Machine
老虎蟹	Tiger crab	Tiger Crab
老虎乸	Tiger	Tiger wand
老奉	Old man	Lao-Bong
老虎頭上叮虱乸	Ding Lie on the Tiger's Head	Tiger head ticks
老虎仔	Tiger	Tiger Boy
撈家	Family	Fishing House
老記	Pirate	Old Kee
老舉	Old -fashioned	Old
老舉寨	Lao Laozhai	Laohuzhai Village
老薑	Ginger	Ginger
嘮稿	Manuscript	nag
老倌	Old -fashioned	Laowan
老公	husband	Husband
老公BB	Husband BB	Husband BB
老公撥扇	Husband	Husband Dial Fan
老公仔	Lady	Old Doll
老公豬	Pig	Husband Pig
老姑婆	Aunt	Old Auntie
老鬼	Old ghost	Old Ghost
撈過界	Fainting	Fishing over the border
露蟹	Dew crab	Dew Crab
露械	Exposure	Dew
露械狂	Madness	Luo Madness
露械男	Deod	Luco Man
露械屙尿	Deer	Durourogenia
老坑	Old pit	Old pit
老坑公	Old pit	Old Keng Gong
老坑婆	Laotong Po	Old Hang Po
老閪	Old -fashioned	Laowan
老黑	Old black	Old Black
撈起	Pick up	Fishing
勞氣	Work hard	Labor gas
撈起啦!	Pick up!	Catch it up!
老行尊	Lao Zhixing	Old-fashioned
老人癡呆症	Alzheimer's Disease	Alzheimer's
老人牌	Old man	Old Man
老人蛇	Snake	Old Man Snake
老人精	Old man essence	Elderly fine
老友	Old friend	old friends
老友記	Old Friends	Friends
老友鬼鬼	Old friend	Ghost Old Friend
老爺	master	Grandpa
老嘢	Old	Oldest
老爺車	classic cars	Classic car
老爺手錶	Master watch	Classic Watch
老而不	Old and not	Old instead of
老契	Bustling deed	Old Deed
老襟	Old	Old Vigel
老虔婆	Old -in -law	Old Godwife
老強	Old -fashioned	Lao Qiang
嘮杲	Cricket	nagging
撈啦	Fish	Fishing
老嚟	Old -fashioned	Old Come
老笠	Old -fashioned	Old Kasagi
勞力士	Rolex	ROLEX
勞力士錶	Rolex	ROLEX
勞力士金錶	Rolex Gold Watch	ROLEX GOLD WATCHES
勞力士手錶	Rolex Watches	Rolex Watches
老廉	Lao Lian	Old Lim
老來嬌	Lao Jiao	Old to Jiao
勞碌	toil	Labor
撈๺	捞 捞 ๺ ๺	Fishing
老貓燒鬚	Old cat burned	Old cat burning whiskers
老媽子	Mother	Mother Son
老麥	Old wheat	LaOMAI
老文	Old text	Old text
老蚊公	Old mosquito	Old Mosquito
佬味	Guy	Guy flavor
鹵味	Meal	halogen
撈麵	Noodles	Stirred Noodles
老毛	Old hair	Old Mao
老母	Mother -in -law	Old Mother
老懵懂	Ignorant	Old ignorant
老泥	Old mud	Old mud
老泥妹	Lao Ni Mei	Old mud sister
撈女	Daughter -in -law	Fishing Girl
老奀茄	Old eggplant	Old Eggplant
老牛	Old cow	OLD BEEF
老藕	Old ravioli	Old lotus
老齧齧	Old	Rodent
老棚	Old shed	Old Shed
撈偏	Margin	Fishing
老編	Old editor	OLD EDITING
撈偏門	Do not	Fishing bias gate
老婆	Wife	Wife
老婆餅	Sweetheart cake	Wife Cake
老婆BB	Wife BB	Wife BB
老婆擔遮	Wife	Wife, cover
老婆奴	Wife slave	Wife Slave
老婆仔	Wife	Wife
老婆豬	Wife pig	Wife Pig
老散	Old -fashioned	Old scattered
老西	Old west	OLD WEST
老細	Old -fashioned	Old fine
撈世界	Worldly	Fishing World
老臣子	Old minister	Old honson
老實	honest	Honest
老實講	to be honest	Honestly
老死	Death	Old Death
老四九	Lao Si Nine	Old four nine
老水	Old water	Old Water
老屎框	Old shit	Old Shit
勞斯萊斯	Rolls -Royce	Rolls-Royce
路數	Road number	Number of Roads
老叔父	Uncle	Uncle
老鼠斑	Mice	Rat spots
老鼠貨	Rats	Mouse Cargo
老鼠夾	mouse trap	Mouse Clip
老鼠拉龜	Turtle	Mouse Turtle
老鼠窿	Mouse	Rat Hole
老鼠仔	Mouse	Mouse
老太婆	Old lady	granny
露體	Dew	Exposed body
露體狂	Dew	Body Maniac
露台	Terrace	Terrace
老土	Old soil	Old fashioned
老同	Old	Lao Dong
撈勻	Uniform	Mix well
老屈	Old bend	Lao Qu
老域	Old domain	Old Domain
老雜	Old -fashioned	Old Miscellaneous
驢仔	Donkey	Donkey
路仔	Road	Road Tsai
路祭	Road sacrifice	Road Festival
撈汁	Juice	SAUCE
老芝	Lao Zhi	Ou Zhi
老積	Old	Old product
撈靜水	Fishing	Still Water
勞資審裁處	Labor Trial Office	Labour Tribunal
老雀	Old bird	Old Finch
老雀骨	Old column	Old Finch Bone
老作	Old work	Old Works
老作	Old work	Old Works
老狀	Old -fashioned	old-shaped
老祖	Ancestor	Ancestral
老宗	Old man	Old school
老總	Boss	Chief
嘍喎	喎	Minions
騾仔	骡仔	Mule
裸照	Nude photo	Nude photo
攞綜援	攞 CSSA	CSSA
嚕	chatter	Lulu
嚕	chatter	Lulu
LOOK	Look	LOOK
椂	Bleak	
睩	Bleak	
碌	busy	Robe
轆	Gin	Roll
6	6	6
六	six	Six
氯	chlorine	Chlorine
淥	Bleak	
熝	Bleak	
祿	Lush	Loc
綠	green	Green
錄	record	Record
陸	land	Land
六	six	Six
鹿	deer	Deer
綠巴	Green	Green Bus
689	689	689
碌爆咭	Kukuki	Explosive Card
綠簿仔	Green Book	Green Book Boy
碌卜	Daemon	Rovu
碌低	Low	Busy low
綠豆公	Mung bean	Mung Bean
綠豆糖水	Mung bean sugar water	Mung Bean Sweet Soup
綠豆仔	Mung beans	Mung Bean
碌地	In a hurry	Baskland
碌地沙	Dili Sand	Sand
綠的	Green	Green
綠頂小巴	Green minibus	Green Top Minibus
綠頂專線小巴	Green top dedicated minibus	Green Top GMB
碌架床	Bunk bed	Bunk Bed
綠公仔	Green doll	GREEN DOLL
陸軍裝	Arms	Army Outfit
六國大封相	Six Kingdoms	The Great Seal of Six Nations
六合彩	Six	Lottery Six
六合彩多寶	Mark Six	Stocai Multi Treasure
綠印	Green seal	Green Seal
碌柚	Pomelo	Pomelo
碌柚葉	Luyan	Pomelo Leaf
碌嘢	Unreasonable	JupYeah
綠衣	Green clothes	Green
碌咭	Daemon	Card
碌咭機	Luggage machine	Card machine
轆軨	Groan	Rokel
轆齡	Age	Roll-age
綠皮書	Green paper	Green Book
碌士	Lulist	Rokie
綠色小巴	Green minibus	Green minibus
綠色炸彈	Green bomb	Green Bomb
綠色專線小巴	Green Special Line minibus	Green Minibus
綠VAN	Green Van	Green VAN
碌蔗	Lipcotic cane	Sugarcane
碌竹	Bamboo	Bamboo
竉	Bleak	Pet
嚨	throat	Throat
櫳	cage	
瓏	Exquisite	Long
籠	cage	Cage
聾	deaf	deaf
隆	Rumbling	RONG
龍	dragon	Dragon
窿	hole	Hole-hole
櫳	cage	
籠	cage	Cage
聾	deaf	deaf
龍	dragon	Dragon
槓	Bars	Levers
弄	alley	Get
龍躉	Dragon	Giant Grouper
龍虎武師	Dragon Tiger Martial Arts	Dragon Tiger Martial Arts
龍鳳胎	Dragon and phoenix	Dragon & Phoenix
隆胸	Breast augmentation	Breast Augmentation
龍友	Dragon friend	Dragon Friends
龍脷	Dragon	Lung Lei
龍脷柳	Longyanliu	Sole Willow
籠裏雞	Cage chicken	Caged Chicken
籠裏雞作反	Chicken in the cage	Caged chicken rebel
窿路	Road	Hole Road
聾佬	Deafen	Deaf
窿窿罅罅	罅罅 罅罅	Hole-hole
龍馬精神	Longma spirit	Ryoma Spirit
龍門	Dragon gate	Lung Mun
聾女	Deaf woman	Deaf
龍牙蕉	Dragon tooth banana	Dragon tooth-banana
聾婆	Deafen	Deaf
龍虱	Dragon lice	Lice
槓箱	Bar	Lever Box
龍船	Dragon boat	Dragon Boat
龍頭	Dragon head	Faucets
龍頭大哥	Big Brother	Big Brother
龍頭大佬	Leader	Faucet Gangster
籠屋	Cage house	Cage House
聾仔	Deafness	Deaf
龍精虎猛	Dragon essence	Dragon Spirit Tiger
聯	Linked	United
孿	Twin	Twin
攣	Craft	cronus
戀	love	Love
亂	chaos	Mess
亂	chaos	Mess
攣髮	Cramp	Hair crampus
亂咁嚟	Chaos	Messy
亂咁舂	Chaos	Chaos
亂講嘢	Randomly	Messy Talk
攣弓蝦米	Crabbin shrimp	Spiny Bow Shrimp
亂嚟	Chaos	Chaos!
亂立立	Stand upright	Insurrection
亂籠	Chaos	Cage
攣毛	Craft	Bristle
攣毛仔	Inga Maozi	Bristle
亂噏	Rampant	Mess
亂噏廿四	Twenty -four	Chaos Twenty-four
亂晒大籠	Random cage	Dandai Large Cage
亂晒坑	Pits	Sunkeng
亂晒籠	Cage	Cage
捋	stroke	
劣	inferior	inferior
唔	Well	Well
媽	mom	Mum!
孖	Bleak	Double
媽	mom	Mum!
媽	mom	Mum!
嗎	?	?
嘛	Well	Well
嘛	Well	Well
嫲	Bleak	
麻	numb	hemp
麻	numb	hemp
碼	code	Code
馬	horse	Horse
碼	code	Code
罵	scold	scolding
孖B	Bald B	Double B
孖辮	Braid	Ponytail
孖辮妹	Bare girl	Double Braid Girl
孖辮女	Bare woman	Girl in Ponytail
孖咇	Bleak	Marbles
馬場	Racecourse	Horse Farm
媽打	Mother	Mom beat
馬膽	Horses	Horse gall
麻煩友	Troubled friend	Trouble Friends
孖份	Sanctuary	Double
馬房	Horseman	Horse room
馬伕	Stable	Mafo
馬交	Horses	Ma Jiaotong
馬交佬	Horseman	Ma Kao
孖吉	Puppet	Mayo
馬經	Scripture	Horse Scripture
馬經版	Malaysian Classic Edition	Horse Warp Version
馬公	Horsesman	Magong
孖公仔	孖 孖 孖	Double Doll
馬季	Horseman	Horse season
孖兄弟	Brothers	Double Brothers
๺	Bleak	
買	purchase	Buy
賣	Sell	SELL
賣	Sell	SELL
๺便	Stool	stool
賣菜婆	Sale	Vegetable Pro-selling
賣大包	Sell ​​a big bag	Sell big bags
埋單	Buried bill	Bury orders
๺底	Puppet	Bottom-bottom
๺堆	Pile	Pile
賣點	Selling point	Selling Point
賣花女	Flower girl	Flower Girl
賣埠	Sell	Selling Port
賣飛佛	Sell ​​a flying Buddha	Selling Flying Buddha
買家	Buyer	Buyers
賣家	Seller	SELLING
๺街	Street	Gong Street
๺櫃	๺	Cabinets
賣鹹鴨蛋	Sales of salty duck eggs	Salted duck eggs for sale
賣鹹魚	Salted fish	Salted fish
๺口	Eloquence	Dekou
買起	Buy	Buy
๺去	Go away	Gone
買殼	Shell	Buy shell
買殼上市	Buy a shell to go on the market	Buy shell listing
๺一二角	๺ 角 角 二 二	One and Two Corners
買嘢	Buy	Buy
買燕梳	Buy a swallow comb	Buy Swallow Comb
賣肉	Sell ​​meat	Sell meat
賣魚佬	Fish -selling guy	Selling Fish
賣魚佬洗身	Selling fish guy	Selling Fish Wash
賣旗	Selling flags	Flag Selling
๺嚟	๺ ๺	Come
賣甩	Sell	Sell sale
買樓花	Buy a floor flower	Buy a house flower
賣樓花	Selling flowers	House Flowers For Sale
買馬	Buy a horse	Buy a horse
買唔到	Buy	Can't buy
๺尾	Tail	Cattail
買唔起	Buy up	Can't afford
賣面光	Selling noodles	Sale Face Light
๺門	Gang	Gate
๺牙	Teeth	Teeth
買外圍馬	Buy peripheral horse	Buy a peripheral horse
買怕	Be afraid	Buy fear
買盤	Buy	Buy Order
賣生藕	Raw ravioli	Selling raw lotus root
๺身	Bodies	Body
๺手	Handle	Pit
買手	buyer	BUYers' hands
買水	Buy water	Buy water
買線	Buy a line	Buy Line
買少見少	There are fewer buying	Buy rare rare
賣相	Sell	SELLING
๺數	Sideline	Number of
買餸	Buy	Buy food
๺頭	Tadpole	Head
๺頭๺腦	๺ 脑 脑 脑	
๺枱傾	๺ ๺ 倾 倾	Table tilting
賣斷市	Disconnection	Sell Off Market
๺位	Pupae	Bitwise
買位	Buy	Buy position
๺齋	๺ ๺ ๺ ๺	Ramadan
๺站	Stall	Ya Station
๺席	Macaron	seat
賣剩蔗	Remain	Sale of surplus cane
賣豬仔	Piglet	Piglets for sale
孖人	Sanctuary	Marbles
麻油	sesame oil	SESAME OIL
孖潤腸	孖 孖 孖 孖 孖	Double Sausage
麻鷹	Twist	Hemp Eagle
麻鷹捉雞仔	Ma Eagle Catch Chicken	Spark-Catching Chicken
孖煙囪	Chimney	Double chimney
孖煙通	Yantong	TWIN SMOKE
孖葉	Leaf	Double Leaf
嘜	Bleak	Mark
掰	Be	Bye
擘	break	brake
擘髀	Push	thighs
擘大個口	Big mouth	Big mouth
擘大個口得個窿	Big big mouth	Big mouth, get a hole.
擘大眼	Big eyes	Big Eyes
擘大眼講大話	Big eyes talk about big eyes	Big eyes, talk big
擘開	Open up	break open
擘開眼	Open your eyes	Open your eyes
孖Q	孖 孖	Double Q
擘爛	Rot	Crashing
擘面	Noodle	Faces
馬狂螂	Migra	Horse Maniac
擘梯	Ladder	Ladder
嘜鐘	Bell	Mark Clock
馬拉糕	Mara cake	Mara cake
馬拉鬼	Mara ghost	Mara Ghost
馬拉妹	Mara girl	Marathi
馬纜	Horse cable	Horse Cable
馬纜紙	Cable paper	Horse cable paper
麻甩	Tickle	Hemp rejection
麻甩佬	Tickle	Ma dumb
麻甩妹	Rammed girl	Ma dumped sister
麻甩騷	Rampant	Ma dumped sao
麻甩仔	Ramny	Ma dumped
馬騮	Stable	Monkey
馬騮衣	Stable	Monkey's
馬騮精	Ma Yimi	Monkey
馬螂狵	Stable	Horse cockroach
媽媽	Mother	Mum!
嫲嫲	mom	
麻麻	Hemp	Hemp
麻麻哋	Hemp	Hemp
孖๺	孖 孖 孖	Marbles
媽媽生	Mother	Mommy
媽媽聲	Mother's voice	Mother's Voice
馬迷	Horse fan	Horse fans
馬尾	Ponytail	Horsetail
馬尾裝	Horsetail	Horsetail
媽咪	Mum	Mommy
摱	Bleak	
⺳	Bleak	
蠻	quite	Barbarian
晚	Night	Night
晚	Night	Night
晚	Night	Night
慢	slow	Slowly
曼	Man	Mann
漫	Somewhat	Diffuse
萬	Ten thousand	Million
饅	steamed bread	Manju
馬乸	Stable	Ma Ta
⺳車邊	Beside the car	Car side
摱槍	Shot	Gassle
孖女	Daughter -in -law	Maiden
摱番	Puppet	Kiban
掹	Bleak	
綳	Bleak	
繃	stretch	Baste
鯭	Bleak	
盲	blind	Blind
盲	blind	Blind
猛	fierce	fierce
蜢	grasshopper	hopper
蜢	grasshopper	hopper
孟	Bustling	Meng
摱雞	Pheasant	Chicken
⺳跀雞	Pheasant	Chickens
盲腸	Cecum	Blind intestine
盲腸炎	appendicitis	Enteritis
盲婚	Blind marriage	Blind marriage
盲婚啞嫁	Blindly marry	Blind Marriage Dumb
猛火	Fierce fire	Raging Fire
猛咁	Fierce	That's fierce
盲公	Blind	Blind
盲公話	Blindness	Blind public
盲公竹	Blind Bamboo	Blind bamboo
猛鬼	Ghost	Ghosts
猛人	Fierce man	Mammoth
盲棋	Chess	Blind chess
盲拳打死老師傅	Blind fist fighting the master	Blind Punch Master
猛料	Might	Mammoth
盲佬	Blind guy	Blind
掹掹緊	Tight	Tight
盲摸摸	Blindly	Blind touch
盲毛	Blind hair	Blind hair
盲妹	Blind girl	Blind sister
盲女	Blind woman	Blind woman
盲眼	Blind	Blind eye
盲眼佬	Blind	Blind Guy
盲年	Blind year	Blind years
掹炮	Pupae	Artillery
盲婆	Blind mother -in -law	Blind woman
盲頭烏蠅	Blind Black Fly	Blind-headed fly
盲仔	Blind	Blind
晚黑	Late dark	Night Black
晚黑飯	Night black rice	Late Black Rice
萬用咭	Universal	Universal Card
萬能插蘇	Universal insertion	Universal plug
萬能插蘇頭	Universal plugging Su Tou	Universal plug head
萬能插頭	Universal plug	Universal Plug
萬能蘇	Wannengsu	Universal Sue
萬壽果	Mandarin	Manju Fruit
晚頭	Late	Evening Head
晚頭黑	Late black	Evening Head Black
晚頭夜	Night	Evening night
萬字夾	Tanning clip	Clip
馬牌	Horseman	Horse card
馬評家	Horse reviewer	Horse Tiptic
孖鋪	Bunk	Double Shop
罵沙廚	Scolding sand chef	Curse Sand Kitchen
孖生	twin	Margino
孖生兄弟	Shengsheng Brothers	Margino Brothers
孖生女	Gang	Marginal Girl
孖生仔	Shengshengzai	Marsang Tsai
孖生姊妹	Sister Sheng	Sister Sisterhood
馬殺雞	Pheasant	Horse Killing Chicken
馬辰蓆	Ma Chenxi	Banjarmasin mat
馬死落地行	The horse is dead	Horse dead landing line
麻石	Hemp stone	Hemite
嘜	Bleak	Mark
抹	wipe	Wipe
馬蹄	Horseshoe	Horseshoe
馬蹄粉	Horseshoe powder	Horseshoe Powder
碼頭	pier	Pier
抹地布	Scrub	Wipes
孖T	Tan	Double T
馬天尼	Martini	Martini
孖胎	Tire	Twins
孖枱	Tadpole	Double Table
抹枱	Wipest	Wiping Table
抹枱布	Wipe	Table Cloth
貓	cat	Cat
媌	Bleak	
矛	spear	Spear
茅	Campaign	Maescue
牡	male	Oysters
貌	appearance	Landforms
貓街	Cat street	Cat Street
貓公	Cat	Cat
貓哭老鼠喪	Cat crying mouse funeral	Cat Crying Mouse Mourning
貓兒	Cat	Cats
貓兒洗面	Cat wash	Cat Face Wash
貓魚	Catfish	Cat Fish
孖屋仔	Takayaka	Double Uk Tsai
茅寮	Mao	Mao-Liao
貓乸	Cat	Cat-litter
茅屋芝士	Hut cheese	Cottage cheese
貓仔	Cat	CAT
貓紙	Cat paper	Cat Paper
矛招	Spear trick	Spear trick
馬王	King	Horse King
馬會	Horses	Jockey Club
孖仔	Tadpole	doubles
馬仔	Horseman	Ma Chai
媽姐	Sister -in -law	Mother!
孖指	Finger	Double finger
碼子	Codon	CODID
孖芝蓮	孖 孖 孖 孖 孖 孖	MICHELIN
孖姊妹	Sisters	Sister (album)
孖展	Exhibition	Margin
孖展戶口	孖 孖 孖 孖	Margin Account
麻雀	sparrow	Sparrow
麻雀賭檔	Sparrow gambling	Mahjong stakes
麻雀腳	Sparrow feet	Sparrow Feet
麻雀館	Sparrow	Sparrow House
麻雀學校	Sparrow school	Sparrow School
麻雀友	Sparrow friend	Sparrow Friends
麻雀牌	Sparrow	Sparrow
麻雀枱	Sparrow table	Mahjong Table
麻雀仔	Sparrow	Sparrow
孖住	Hold	marginable
馬主	Horseman	Horse owner
馬住	Live	Ma live
孖住報	Dwarf	Margino newspaper
冞	Bleak	
咪	mum	Mimi
謎	puzzle	Enigma
迷	fan	Riddler
咪	mum	Mimi
米	rice	Rice
咪	mum	Mimi
咪錶	Mimne	Meter
咪得囉	Mimi	Mimi
米飯班主	Rice	Rice class owner
米飯錢	Rice	Rice money
咪家	Family	Mimi House
迷姦水	Rape	Superstitious Water
咪攪我	Mi mix me	Mimi Stir Me
咪噉啦!	Mi!	Mimi!
咪狗經	Mi Dog Jing	Mimi Dog
咪高峰	Mimi peak	Microphones
咪係囉	Mimi	Mimi Hello
咪又係	Mimi	Another microphone
咪拘	Martial	Mimi
咪啦!	Mi!	Mimi!
咪厘	Mate	Mimi
咪 … 囉	Mi ...	Mimi... Hello
米路	Rice road	Metre Road
咪馬經	Mima Jing	Mimi horse
迷你	Mini	MINI
迷你戲院	Mini theater	MINI THEaters
迷你裙	mini skirt	MINI SKIRT
米舖	Rice shop	Rice Shop
米水	Rice water	Rice water
咪仙	Marty	Mi-Sin
咪書	Bookmark	Book of Mimi
米通	Rice	Rice Thong
咪V.住	Mi v.	Mi V. live
咪話	Mate	Mimi
米王	Rice king	Rice King
咪就係	Mi	Mimi is
咪嘴	Mate	Mick mouth
咪紙	Mimne	Mimi paper
咪指倚	Finger	Micro-mi fingeringrest
咪住	Live	Mimi live
咪住先	Mi live first	Mimi live first
嘜	Bleak	Mark
墨	ink	Ink
癦	Bleak	
脈	pulse	veins
麥	wheat	Mak
默	silent	silently
嚜	Bleak	
癦	Bleak	
麥	wheat	Mak
梓	Brunt	
墨七	Moqi	Ink Seven
墨超	Ink super	Super Ink
麥當勞	McDonald's	McDonald's
麥記	Wheat	Mak Kee
墨硯	Ink	Inkstone
墨魚	Cuttlefish	Cuttlefish
脈門	Vein	Pulsed gate
墨水筆	Pens	Ink Pen
癦屎	Shit	Shit
嘜頭	Tadpole	Mark Mark
嘜頭相	唛 唛	Mark Photo
၏	Bleak	
霠	Bleak	
伩	Bleak	
呅	Bleak	
炆	Bleak	Braised
呡	Bleak	
文	arts	text
民	civil	civilian
紋	Pattern	grain
聞	smell	Smell
雯	Dwarf	Wen
緡	cord	
蚊	mosquito	Mosquito
文	arts	text
吻	kiss	Kisses
敏	Sensitive	Min
閩	Fujian	Min
抆	wipe	
抿	sip	
問	ask	ask
蚊髀	Mosquito	Mosquito thighs
蚊髀同牛髀	Mosquito 髀 髀 髀 髀 髀	Beef leg with mosquito leg
問餐死	Ask a meal	Ask the meal to die
文膽	Boldness	Wen Gi
問吊	Ask	Ask for hanging
蚊都瞓啦	Mosquito	Mosquito
蚊瞓	Mosquito	Mosquito
䫤	Bleak	
掤	arrow quiver	
掹	Bleak	
絣	Bleak	
ർ	Bleak	
忟	Bleak	
⛴	Bleak	
䷪	Bleak	
掤	arrow quiver	
掹	Bleak	
擝	Bleak	
絣	Bleak	
盟	Alliance	League
孟	Bustling	Meng
蚊雞	Mosquito	Mosquito chicken
掹插蘇	掹 掹 掹 掹 掹	plug su
ർ雞	Pheasant	Chicken
盟籠	Cage	Alliance Cage
掹貓尾	掹 cattail	Cat Tail
掹衫尾	Tail	Tail
掹實	Sanctuary	pragmatic
蚊公	Mosquito	Mosquito
䷪产	Migrant	
問候咭	Greetings 咭	Greeting Cards
問候你老豆	Greetings your old beans	Greetings to your old bean
問候你老母	Greetings your mother	Greetings to your mother.
問起	Ask	Ask
蚊型	Mosquito	Mosquito
